date,price
"2023/03/03",27
"2023/03/04",28
"2023/03/05",29
"2023/03/06",28
"2023/03/07",28
"2023/03/08",27
"2023/03/09",27
"2023/03/10",28
"2023/03/11",28
"2023/03/12",28
"2023/03/13",28
"2023/03/14",27
"2023/03/15",27
"2023/03/16",27
"2023/03/17",27
"2023/03/18",27
"2023/03/19",27
"2023/03/20",27
"2023/03/21",27
"2023/03/22",28
"2023/03/23",28
"2023/03/24",28
"2023/03/25",28
"2023/03/26",29
"2023/03/27",28
"2023/03/28",28
"2023/03/29",27
"2023/03/30",27
"2023/03/31",27
"2023/04/01",26
"2023/04/02",27
"2023/04/03",27
"2023/04/04",27
"2023/04/05",27
"2023/04/06",27
"2023/04/07",27
"2023/04/08",27
"2023/04/09",27
"2023/04/10",27
"2023/04/11",27
"2023/04/12",27
"2023/04/13",26
"2023/04/14",26
"2023/04/15",26
"2023/04/16",26
"2023/04/17",26
"2023/04/18",27
"2023/04/19",27
"2023/04/20",26
"2023/04/21",26
"2023/04/22",26
"2023/04/23",26
"2023/04/24",26
"2023/04/25",26
"2023/04/26",26
"2023/04/27",26
"2023/04/28",26
"2023/04/29",26
"2023/04/30",26
"2023/05/01",26
"2023/05/02",26
"2023/05/03",26
"2023/05/04",26
"2023/05/05",26
"2023/05/06",27
"2023/05/07",27
"2023/05/08",26
"2023/05/09",26
"2023/05/10",26
"2023/05/11",26
"2023/05/12",26
"2023/05/13",26
"2023/05/14",26
"2023/05/15",26
"2023/05/16",25
"2023/05/17",25
"2023/05/18",26
"2023/05/19",26
"2023/05/20",26
"2023/05/21",26
"2023/05/22",26
"2023/05/23",26
"2023/05/24",26
"2023/05/25",26
"2023/05/26",26
"2023/05/27",26
"2023/05/28",26
"2023/05/29",26
"2023/05/30",26
"2023/05/31",26
"2023/06/01",26
"2023/06/02",26
"2023/06/03",26
"2023/06/04",25
"2023/06/05",24
"2023/06/06",25
"2023/06/07",25
"2023/06/08",25
"2023/06/09",25
"2023/06/10",25
"2023/06/11",26
"2023/06/12",26
"2023/06/13",26
"2023/06/14",25
"2023/06/15",25
"2023/06/16",25
"2023/06/17",25
"2023/06/18",25
"2023/06/19",24
"2023/06/20",24
"2023/06/21",23
"2023/06/22",23
"2023/06/23",24
"2023/06/24",25
"2023/06/25",25
"2023/06/26",25
"2023/06/27",25
"2023/06/28",24
"2023/06/29",25
"2023/06/30",25
"2023/07/01",25
"2023/07/02",24
"2023/07/03",25
"2023/07/04",25
"2023/07/05",25
"2023/07/06",24
"2023/07/07",24
"2023/07/08",24
"2023/07/09",23
"2023/07/10",23
"2023/07/11",23
"2023/07/12",22
"2023/07/13",22
"2023/07/14",22
"2023/07/15",22
"2023/07/16",23
"2023/07/17",23
"2023/07/18",23
"2023/07/19",22
"2023/07/20",22
"2023/07/21",22
"2023/07/22",22
"2023/07/23",22
"2023/07/24",22
"2023/07/25",22
"2023/07/26",22
"2023/07/27",22
"2023/07/28",22
"2023/07/29",22
"2023/07/30",22
"2023/07/31",22
"2023/08/01",22
"2023/08/02",22
"2023/08/03",22
"2023/08/04",23
"2023/08/05",23
"2023/08/06",23
"2023/08/07",23
"2023/08/08",23
"2023/08/09",22
"2023/08/10",21
"2023/08/11",21
"2023/08/12",22
"2023/08/13",22
"2023/08/14",22
"2023/08/15",23
"2023/08/16",24
"2023/08/17",24
"2023/08/18",25
"2023/08/19",25
"2023/08/20",25
"2023/08/21",24
"2023/08/22",24
"2023/08/23",24
"2023/08/24",24
"2023/08/25",24
"2023/08/26",24
"2023/08/27",23
"2023/08/28",24
"2023/08/29",24
