date,volume
"2023/03/03",28058415
"2023/03/04",16953812
"2023/03/05",37178091
"2023/03/06",30862396
"2023/03/07",18218539
"2023/03/08",34190334
"2023/03/09",24785708
"2023/03/10",30228861
"2023/03/11",28751799
"2023/03/12",23220598
"2023/03/13",47134584
"2023/03/14",35287579
"2023/03/15",12712367
"2023/03/16",42335820
"2023/03/17",32768776
"2023/03/18",33911633
"2023/03/19",21085916
"2023/03/20",43507570
"2023/03/21",16360614
"2023/03/22",28019642
"2023/03/23",37395717
"2023/03/24",31796701
"2023/03/25",27535322
"2023/03/26",24897568
"2023/03/27",35020750
"2023/03/28",28850557
"2023/03/29",42804664
"2023/03/30",30135277
"2023/03/31",22530568
"2023/04/01",32228933
"2023/04/02",39285890
"2023/04/03",32628291
"2023/04/04",12063705
"2023/04/05",35878729
"2023/04/06",33388621
"2023/04/07",14232394
"2023/04/08",36723290
"2023/04/09",44753952
"2023/04/10",8274303
"2023/04/11",32312530
"2023/04/12",26474347
"2023/04/13",32205129
"2023/04/14",26618500
"2023/04/15",42569465
"2023/04/16",22743859
"2023/04/17",18838468
"2023/04/18",30885323
"2023/04/19",13476541
"2023/04/20",48620503
"2023/04/21",20576290
"2023/04/22",21281895
"2023/04/23",35715250
"2023/04/24",24100499
"2023/04/25",11032254
"2023/04/26",40510384
"2023/04/27",9669391
"2023/04/28",23639949
"2023/04/29",43505999
"2023/04/30",28630232
"2023/05/01",21626670
"2023/05/02",19632758
"2023/05/03",36979708
"2023/05/04",27834708
"2023/05/05",45020079
"2023/05/06",25629940
"2023/05/07",32267329
"2023/05/08",15667978
"2023/05/09",23378585
"2023/05/10",14621047
"2023/05/11",37334917
"2023/05/12",33584024
"2023/05/13",24248504
"2023/05/14",15321001
"2023/05/15",14582497
"2023/05/16",38614339
"2023/05/17",31565278
"2023/05/18",17283681
"2023/05/19",46259629
"2023/05/20",18651277
"2023/05/21",30615887
"2023/05/22",35433789
"2023/05/23",18000995
"2023/05/24",16292610
"2023/05/25",25547789
"2023/05/26",31981929
"2023/05/27",30984078
"2023/05/28",15401411
"2023/05/29",19638777
"2023/05/30",35738549
"2023/05/31",18934197
"2023/06/01",28732224
"2023/06/02",34883779
"2023/06/03",42332555
"2023/06/04",25262760
"2023/06/05",35113903
"2023/06/06",20563096
"2023/06/07",39629209
"2023/06/08",21411833
"2023/06/09",42186256
"2023/06/10",10251309
"2023/06/11",28208856
"2023/06/12",57749510
"2023/06/13",0
"2023/06/14",66679729
"2023/06/15",48832321
"2023/06/16",56014539
"2023/06/17",68424846
"2023/06/18",49466119
"2023/06/19",48799530
"2023/06/20",54261371
"2023/06/21",56987680
"2023/06/22",67374131
"2023/06/23",52452702
"2023/06/24",47626562
"2023/06/25",44491097
"2023/06/26",54882941
"2023/06/27",76557494
"2023/06/28",54663234
"2023/06/29",7735545
"2023/06/30",26711467
"2023/07/01",12044262
"2023/07/02",22423625
"2023/07/03",29451671
"2023/07/04",34176951
"2023/07/05",13597928
"2023/07/06",31597415
"2023/07/07",41705589
"2023/07/08",23355489
"2023/07/09",174970
"2023/07/10",36295434
"2023/07/11",16530043
"2023/07/12",36549776
"2023/07/13",17674580
"2023/07/14",17857766
"2023/07/15",26223376
"2023/07/16",936760
"2023/07/17",25731336
"2023/07/18",23291391
"2023/07/19",39556142
"2023/07/20",13923794
"2023/07/21",37347033
"2023/07/22",29899033
"2023/07/23",2609022
"2023/07/24",40000238
"2023/07/25",14012646
"2023/07/26",32380625
"2023/07/27",49666425
"2023/07/28",16862724
"2023/07/29",38057836
"2023/07/30",26174804
"2023/07/31",28321980
"2023/08/01",40807796
"2023/08/02",18745278
"2023/08/03",37110243
"2023/08/04",23011013
"2023/08/05",33729610
"2023/08/06",3893442
"2023/08/07",23315984
"2023/08/08",10362759
"2023/08/09",29565649
"2023/08/10",26354629
"2023/08/11",8346258
"2023/08/12",31989649
"2023/08/13",1116463
"2023/08/14",14752793
"2023/08/15",30714216
"2023/08/16",28533324
"2023/08/17",7653634
"2023/08/18",36938424
"2023/08/19",24581529
"2023/08/20",8355437
"2023/08/21",16189689
"2023/08/22",23039855
"2023/08/23",34442956
"2023/08/24",18504418
"2023/08/25",15497118
"2023/08/26",22561752
"2023/08/27",29004497
"2023/08/28",18881122
"2023/08/29",818223
